"id";"articulo";"categoria";"detalle";"versiculo";"cita";"reservadoPor";"icon"
"sabanas";"Juego de sábanas";"Cama y baño";"Algodón suave, cama doble";"Con sabiduría se edificará la casa, y con prudencia se afirmará.";"Proverbios 24:3";"";"bed"
"toallas";"Set de toallas";"Cama y baño";"Baño y manos, algodón grueso";"Jehová te bendiga y te guarde; Jehová haga resplandecer su rostro sobre ti.";"Números 6:24-25";"";"towel"
"bateria";"Batería de cocina";"Cocina";"Ollas y sartenes para el día a día";"Si Jehová no edificare la casa, en vano trabajan los que la edifican.";"Salmo 127:1";"";"pot"
"vajilla";"Vajilla para seis";"Mesa";"Platos, tazas y ensaladera";"Hospedaos los unos a los otros sin murmuraciones.";"1 Pedro 4:9";"";"plate"
"cafetera";"Cafetera";"Cocina";"Para las mañanas lentas de esta casa";"Este es el día que hizo Jehová; nos gozaremos y alegraremos en él.";"Salmo 118:24";"";"coffee"
"cubiertos";"Juego de cubiertos";"Mesa";"Acero, servicio completo";"Y sobre todas estas cosas vestíos de amor, que es el vínculo perfecto.";"Colosenses 3:14";"";"cutlery"
"linos";"Manteles de lino";"Mesa";"Mantel y servilletas para compartir";"No os olvidéis de la hospitalidad, porque por ella algunos, sin saberlo, hospedaron ángeles.";"Hebreos 13:2";"";"linen"
"lampara";"Lámpara de mesa";"Sala";"Luz cálida para la noche";"Lámpara es a mis pies tu palabra, y lumbrera a mi camino.";"Salmo 119:105";"";"lamp"
"cojines";"Cojines para la sala";"Sala";"Texturas de lino y lana";"Y mi pueblo habitará en morada de paz, en habitaciones seguras.";"Isaías 32:18";"";"cushion"
"cristaleria";"Vasos y copas";"Mesa";"Agua, vino y celebraciones";"Alabad a Jehová, porque él es bueno; porque para siempre es su misericordia.";"1 Crónicas 16:34";"";"glass"
"planta";"Planta de interior";"Sala";"Maceta de barro y verdor";"Plantados en la casa de Jehová, florecerán en los atrios de nuestro Dios.";"Salmo 92:13";"";"plant"
"cuadro";"Lámina para la sala";"Sala";"Arte sereno, marco de madera";"Sea agradable sobre nosotros la luz de Jehová nuestro Dios, y confirma la obra de nuestras manos.";"Salmo 90:17";"";"art"
"cuchillos";"Set de cuchillos";"Cocina";"Buen filo para cocinar en casa";"Y todo lo que hagáis, hacedlo de corazón, como para el Señor.";"Colosenses 3:23";"";"knife"
"velas";"Velas y aroma";"Detalles";"Cera suave, notas de olivo y lino";"Mejor es la comida de legumbres donde hay amor, que de buey engordado donde hay odio.";"Proverbios 15:17";"";"candle"
"alfombra";"Alfombra pequeña";"Sala";"Para el recibidor o el pie de cama";"En paz me acostaré, y asimismo dormiré, porque solo tú, Jehová, me haces vivir confiado.";"Salmo 4:8";"";"rug"
"te";"Set de té y café";"Cocina";"Tetera, tazas y bandeja";"Gustad y ved que es bueno Jehová; dichoso el hombre que confía en él.";"Salmo 34:8";"";"tea"
"canasta";"Canasta para el pan";"Mesa";"Mimbre y lienzo para la mesa";"El pan nuestro de cada día, dánoslo hoy.";"Mateo 6:11";"";"basket"
"bono-cocina";"Bono para la cocina";"Aportes";"Un aporte libre para utensilios";"Cada uno dé como propuso en su corazón: no con tristeza, ni por necesidad, porque Dios ama al dador alegre.";"2 Corintios 9:7";"";"gift"
"bono-nido";"Bono para el nido";"Aportes";"Para textiles, luz o lo que falte";"Pero yo y mi casa serviremos a Jehová.";"Josué 24:15";"";"gift"
